date,avg_weight
2022-02-07,95.25451098148434
2022-02-11,94.34732516261306
2022-02-12,94.119
2022-02-13,93.544
2022-02-14,93.458
2022-02-15,94.313
2022-02-16,93.436
2022-02-17,93.879
2022-02-18,94.85
2022-02-19,94.85
2022-02-21,94.23
2022-02-22,93.77
2022-02-23,93.727
2022-02-24,93.457
2022-02-25,93.5
2022-02-26,93.598
2022-03-06,95.736
2022-03-07,94.582
2022-03-08,94.012
2022-03-09,93.457
2022-03-10,92.767
2022-03-11,92.193
2022-03-12,92.322
2022-03-13,91.939
2022-03-14,92.873
2022-03-15,92.749
2022-03-16,92.647
2022-03-17,92.17
2022-03-18,92.938
2022-03-19,93.035
2022-03-20,92.681
2022-03-21,92.296
2022-03-22,92.528
2022-03-23,92.303
2022-03-24,92.711
2022-03-25,92.493
2022-03-26,92.486
2022-03-27,92.98266666666666
2022-03-28,92.877
2022-03-29,93.378
2022-03-30,93.436
2022-03-31,93.833
2022-04-01,93.897
2022-04-02,93.868
2022-04-03,93.285
2022-04-04,93.515
2022-04-06,94.799
2022-04-07,93.909
2022-04-08,93.242
2022-04-09,93.42
2022-04-10,93.233
2022-04-11,93.098
2022-04-12,93.294
2022-04-13,92.875
2022-04-14,93.589
2022-04-15,93.395
2022-04-16,93.189
2022-04-17,92.775
2022-04-18,91.949
2022-04-19,92.528
2022-04-20,92.294
2022-04-21,92.972
2022-04-22,92.871
2022-04-23,92.526
2022-04-24,92.762
2022-04-25,93.393
2022-04-26,92.581
2022-04-27,92.866
2022-04-28,92.967
2022-04-29,92.121
2022-04-30,91.737
2022-05-01,91.643
2022-05-02,92.509
2022-05-03,92.207
2022-05-04,92.439
2022-05-05,92.205
2022-05-06,92.014
2022-05-07,92.313
2022-05-08,92.2795
2022-05-09,92.49
2022-05-10,92.444
2022-05-11,91.753
2022-05-12,92.168
2022-05-13,91.958
2022-05-14,91.7
2022-05-15,91.601
2022-05-16,91.319
2022-05-17,91.563
2022-05-18,91.454
2022-05-19,91.269
2022-05-20,91.149
2022-05-21,91.292
2022-05-22,91.345
2022-05-23,90.959
2022-05-24,91.394
2022-05-25,91.562
2022-05-26,92.13
2022-05-27,92.205
2022-05-28,92.635
2022-05-29,92.318
2022-05-30,91.722
2022-05-31,92.122
2022-06-01,91.875
2022-06-02,92.193
2022-06-03,92.266
2022-06-04,91.455
2022-06-05,91.5
2022-06-06,91.173
